,tweets,labels
13007,سنه كان تامر حسني ملهم بالنسبه لي,Iraq
13008,كيه ما لابسه,Oman
13009,بدل ما اعمل اشتريت لاعيب و اتمينصت نقطه مين جمال عبدالناصر ناو,Egypt
13010,المعذرة نحن على فدنا ما وصلنا بعد إلى حدود البحر المتوسط ه,Yemen
13011,ماذا يعني لك اليوم العالمي للمرأة المسلمة,Syria
13012,قديم كانت أربعه شالو الجمل الحين ثنين شالوا الجمل ويرقون الضلعان,Syria
13013,كلك حكم يا عم,Tunisia
13014,ابواب الجنه كثيره اقربها لنا الأم,Syria
13015,كم انت فشيخ يا نيمار,Egypt
13016,لا ده انيميشن لو سمحت,Egypt
13017,حبيبي ي علاء سعيد,Saudi_Arabia
13018,تسلط الشيطان على الإنسان وإيقاع الضرر به إضرار الشيطان ببني آدم لا يقتصر على الدين بل يشمل ضرر الدين وضرر الدنيا معا وأكبر ضرره هو تسلطه على العبد بالإضلال والصد عن سبيل الله تعالى والمد في الغي حتى الممات بما يستوجب النار وهذا قد أعاذ الله منه عباده الصالحين,Libya
13019,والله العشاير هي شبب الخراب والدمار والي اختطفوا الجندي المفروض يحاكموهم خوما يبقون هيج بس بما انه إحنا بالعراق العظيم مراح يصير اي شي,Iraq
13020,وأعرف أنك ست النسآء وليس لدي بديل,Syria
13021,بورك فيك الرئيس,Algeria
13022,صبرت ع الضيم لجلك وغيري خذاك,Kuwait
13023,بكري قالو على الزهر كل واحد ومغرفتو واش رفدت انا وقيل عندي فرشيطه,Algeria
13024,ربي انت وحدك اعلم بحالي اللهم أمسح على قلبي بالراحة وزودني قوة وصبر يارب ابعد عني كل ضيق اشعر به ويسر لي امري يارب وكل ما يشغل بالي يارب أرح قلبي واجبر كسره و هون حزني و صبرني صبرا لا يباعد عن صبر أيوب وكن معي,Saudi_Arabia
13025,انا هكتب المحتاجة تعمل أى حاجة,Egypt
13026,دوو سب,Iraq
13027,ربي يقصف ايامهم لعنة الله عليهم دنيا واخره,Libya
13028,اصلي اقسم بالله,Egypt
13029,اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات,Iraq
13030,ه إذا اعصابك ماش لا تتابعها نصيحة مباراة الموسم,Bahrain
13031,متى ياسر ذكر اسم البكيري,Saudi_Arabia
13032,وين الذكاء الاصطناعي وطالب بثاني ثانوي عندي يرسم اسمه رسم ولا يعرف يقراء الله يجملنا معه ونقدر نعدل اخطاء سابقة,Oman
13033,مال شارجه لاه,United_Arab_Emirates
13034,عيل فقري يا بلبل,Egypt
13035,مبروك الانتصار وشكرا يا ليبيين حطمتم أحلام بن زايد وكسرتم خشمه,Algeria
13036,مايحس بحرارة الجمره إلا واطيها,United_Arab_Emirates
13037,حسبي ربا يعلم سري وجهري ويدبر أمري من حيث لا أدري,Palestine
13038,أحب الحصول على آخر صيحات الموضة فقد قمت بشراء أشياء رائعة,Algeria
13039,فالحب وحده هو القادر علي أن يعيد لنا دهشتنا الأولي,Algeria
13040,نحن صناع الطغاة,Lebanon
13041,انا ضد تسمية المرأة و الشباب كمصطلح انا مع تعزيز مصلطح الكفاءة مهما كان عمره و جنسه,Tunisia
13042,واحد كان منزل بوست بيقول فيه النبي مش هيشفع لواحد كسر قلب بنوتة ونيمها معيطه رواه شيخ الآسلام تامر حسني قولت أخرجلكم الحديث علشان نعرف حكمه ضعيف كان ام صحيح,Egypt
13043,بالتوفيق لك رؤوف تعليقك جميل,Tunisia
13044,الحياة عباره عن فيلم رعب والأيام الحلوه إعلانات,United_Arab_Emirates
13045,الجمعة مميز بالطبخات دسمه صح يوم الجمعة,Jordan
13046,فوز ريال مدريد,Morocco
13047,معندناش وقت اللى مبضونين منو بنقوله فى وشو,Egypt
13048,فوق أنه ما يتزوجها يزعل إذا انخطبت,United_Arab_Emirates
13049,اربي خير ما أتمنى في الوجود استجابتك لأدعيتي لك عند السجود,Oman
13050,هنعيد من تانى انتى من امتى بتحسي بأحاسيس البنى أدمين النورمال يا بيبي,Egypt
13051,كلهم هيتعذبوا وهما بيصحوا للكلية بداية الترم و احنا وقتها هنحس بالانتصار,Egypt
13052,يا رب يكون هالشهر نهاية كل شي كرهناه او حبيناه وطلع مش لمصلحتنا وبداية كل شي جديد وبنتمناه,Palestine
13053,نفتخر بمنتخب الجزائر و منتخب قطر و أمثالكم للأسف لن ترتق عقولهم رغم كبركم فاتركوا هاته السفاهات التي لا تغني و لا تسمن من جوع و في الحقيقة أنتم تمثلون أنفسكم فقط لأن الذي بيننا و بين إخوتنا في السعودية أكبر بكثير من سفاهاتكم و الكأس مهداة لكل العرب جميعا,Algeria
13054,سأخبرهم بأنك اجمل حب لازم قلبى يومآ,Egypt
13055,و الحمد الله على كل حال,Morocco
13056,في ناس معينة ذكرياتهم جوانا ونفسي يبقوا طول الوقت معانا بس للأسف تصرفاتهم مش على,Egypt
13057,ملحوظة مباخدش عيدية اقل من جنيه,Egypt
13058,منير حدادي و ساندرو ومعاهم سيرجيو روبيرتو عاوزين ولعه ومعاهم أبونا الحج ماتيو اتفوا علي دي أشكال بنت مره,Egypt
13059,ۈش فرحك فيني و انا كلي قسى وش ورطك ب الضيق و الدنيا سعه,Syria
13060,يارب ان الظالم مهما كان سلطانه لايمتنع منك فسبحانك أنت مدركه أينما سلك وقادر عليه أينما لجأ يارب,Jordan
13061,افضل مكان تركيا,Syria
13062,بداية الشتاء الهادئه تؤثر علينا بلطف,Libya
13063,التعاون يفوز والصدارة لنصر هخه يوم تاريخي,Saudi_Arabia
13064,بدي إقترحات ل أفلام أجنبية تكون كوميدية,Syria
13065,فطرت الا ربع,Tunisia
13066,عندما كان الغرب يصنع المحرك البخاري كان العرب منشغلين بتفسير صحيح البخاري فصنع الغرب السيارة واخترع العرب دعاء السفر,Iraq
13067,حقات اخوي والله لاعلمه,Saudi_Arabia
13068,صح بس الفيديو مقصوص مش بهالمدة منزله شربل,Lebanon
13069,ده بيبقي قمة التوهان,Egypt
13070,بۆ زیاتر جوانکردنی ماڵ,Iraq
13071,سكرنا ولم نشرب من الخمر خرعهفشارب الخمر يصحو بعد سكرته وشارب الحب يبقى طوال العمر سكران,Sudan
13072,السعودية تعتزم تعيين ملحق عسكري لها في بغداد بالقريب العاجل,Iraq
13073,,Libya
13074,الحركة العمالية النقابية تنعي القيادي النقابي والتربوي والسياسي عبدالقادر امين,Yemen
13075,يارب اهدني لطريقك وأكفني شر نفسي وأحسن خاتمتي يارب العالمين,Egypt
13076,عتاب رومنسيه قوية حين تفارقني قوية إبداع الفنان صلاح الاخفش عبر,Yemen
13077,,Egypt
13078,سلبيات هذه التكتلات القبلية سيدفع ثمنها أجيال قادمه للآسف,Oman
13079,ألقي بجسدك بحضني,United_Arab_Emirates
13080,عموما حصل خير,Bahrain
13081,اكو مثلك احلى وجود,United_Arab_Emirates
13082,تغريدة الزعيم العراقي السيد مقتدى الصدر اعزه الله في موقع تويتر,Iraq
13083,يدفعني الشوق يمك يابعد روحي وعن شوفك الصد والهجران يمنعني وتعز نفسي عليه واجحد جروحي واصبر لو ان الصبر ماهو بنافعني,Saudi_Arabia
13084,ما شفت الميجر كل خطوة,Saudi_Arabia
13085,اله يسعدك ياشيخ,Kuwait
13086,على المدرجات بس وانت ساكت بالحروف,Djibouti
13087,استغفرالله حاضره عزا واحس ابي ارجع البيت بسرعه نفسي اسمع اغنيه,Saudi_Arabia
13088,مر مثل القهوة حلو مثل الشوكولا,Egypt
13089,حاشا ل,Iraq
13090,على فكرة منيش مسؤول على مخاخكم وين تهزكم كي نهبط باش نضحك بيها شوية كل واحد ة ومخو,Tunisia
13091,جزاك الله خير,Qatar
13092,يارب اني اعوذ بك من حزن يأكل القلب بصمت,Saudi_Arabia
13093,لا لإباحية قالولك ه و مواضيع اترضاه لاختك و قصص يا اخي ذا ماه نفس الشيء و افيرات وي امباركيت حته,Mauritania
13094,معندي منقولك ياطيري,Tunisia
13095,اشكال عاوزا الحرق وميكنش فيه مياه يطفوهم بيها,Egypt
13096,أقول لك ولأسيادك خربتم بلاد المسلمين لعنة الله عليكم إلى يوم الدين,Morocco
13097,هع هع هع,Egypt
13098,الله غالب دخان و قزوزه هلاك رسمي ضروري نختار حاجه وحده بس,Libya
13099,صرلي ربع ساعة عم دور ع نضاراتي الطبية و بالاخير بلاقين عالتواليت بغرفتي و انا كل شوي بفوت عالغرفة انو متاكدة انن هون و ما بلاقين و هنن طول الوقت ادامي,Syria
13100,لم تؤتى الأمة في مقتلها إلا من هنا وهناك إنه الإنبطاح المدائم,Algeria
13101,هالزي لي مؤدبة,Morocco
13102,سبحان الله وبحمده عدد خلقه ورضا نفسه وزنة عرشه ومداد كلماته,Egypt
13103,الرجال نقطه في بحر النساء,Syria
13104,وحق ربي البيضاء وهلها الحب الذي لابنتهي,Libya
13105,ه لا وحياتك,Libya
13106,يعني ن هي رب الأسرة,Syria
13107,أصالة في برنامج مجموعة إنسان على قناة على قول الحكمة اللي بتقولها اليسا,Libya
13108,تكذيب الناس الحق لا يزيل الإيمان به ولن يكون أحد أقوى حجة من الأنبياء فإن كذبوك فقد كذب رسل من قبلك جاءوا بالبينات,Iraq
13109,حسبي الله لا إله إلا هو عليه توكلت وهو رب العرش العظيم,United_Arab_Emirates
13110,خلاصلهم الرصاص مساكن,Algeria
13111,اشطر ناس فى الموضوع ده دفعه الضهر والسند اللى من غيرهم بنى سويف مش هتكمل,Egypt
13112,فاز الاتحاد على الهلال وتصدر الاهلي وفرح فريق بالمركز ال الاتحاد الهلال,Saudi_Arabia
13113,ه معقوله لهذي درجه,Iraq
13114,واللي يقلون حفلة الليله بالحفر هو صدق او لا,Syria
13115,الحمدالله والشكر له,Oman
13116,والعالميه صعبه عليا,Egypt
13117,شي حلو ان يصحوني عشان المطر واخيرا تحقق الحلم الصعب,Saudi_Arabia
13118,بما انه الاجواء صارت باردة رجعنا على افتار شوي من الشتاء السابق لان صارلي يمكن شهرين او اكثر ما ماخذ اي صورة بسبب الاوضاع الصعبة اللي يمر بيها البلد,Iraq
13119,مركز جدة العلمي يحتفل باليوم الوطني,Saudi_Arabia
13120,العدد من أسبوعية الضمير الخميس سبتمبر,Tunisia
13121,بالله عليكم وتدخل الامارات ضد شرعية اليمن ايش تسموه,Yemen
13122,روك مافيا ومايلي سايرس,Libya
13123,لأ اكيد لساتني نايمة وعم شوف كابوس,Algeria
13124,محتاج زول يسلفني مليون و ارجعهم ليهو على شكل دعوات من القلب,Sudan
13125,ويعافيك اخي باسم يستاهل الوطن والسلطان,Oman
13126,صباح الخير و الانوار,Saudi_Arabia
13127,ماشي مبروك وصلت,United_Arab_Emirates
13128,لم يمنحك الله الحياة لتكون قصة يأس ولا رواية أسى وحزن ولا لتجعل منها فصول حرمان,Oman
13129,وقف النظارات لقراءة القرآن الكريم في المسجد لكبار السن وضعيفي النظر سبحان من ألهمه ذلك له مثل أجور من يقرأ القرآن غرائب الأوقاف عجائب الأوقاف الاقتصاد الإسلامي,Saudi_Arabia
13130,الجوهرة تحتفي بالمتصدر هذا الكبير عميد الكل التسعيني يستاهل بأذن الله تكون ليلة صدارة,Bahrain
13131,ساعة في اليوم ساعة الإسبوع ساعة في الشهر لا أعرف أين تذهب,United_Arab_Emirates
13132,رجس العرب انت وهم ملعونين اينما ثقفو,Yemen
13133,بلحق مش برد يستحق هذا الكل,Tunisia
13134,اختراق حساب فيصل بن تركي ياخي مدري كيف يحس يعني يفتخر يوم انه دخل مكان بدون اذن سرقة ذي,Syria
13135,ياخوي خلنا بميلان احسن,Kuwait
13136,اي عشانك زق,Iraq
13137,واخيرا رجع النت,Iraq
13138,الله يصبر قلبك شو مانا سهلي منوب,Syria
13139,أغمض عيناك وأستمر تجاهل حتى تشبع إكتم مابقلبك ف لا أحد يشعر بما تشعر أنت,Oman
13140,كتير هيك شكلي بصير,Jordan
13141,ألوان الصيف من كولورادو أختر ألوانك بعناية تتناسب مع ذوقك ومع المكان الذي اخترت اللون من,Tunisia
13142,يارب أعطنا الخير من كل شيء,United_Arab_Emirates
13143,صح لسانك بومحمد,Morocco
13144,انا عارفه كويس انا بعمل إيه,Egypt
13145,صورة البلاك بيري ماسنجر على الآيفون وأنباء أن موعد اصداره رسميا سيكون بتاريخ,United_Arab_Emirates
13146,ئاماد,Iraq
13147,ما عندنا عربي,Iraq
13148,أحييك يا أخت حسنية على جرأتك في تناول جميع المواضيع في نشرات الأخبار وغيرها على قناتنا المحبوبة الجزيرة وبهذه المناسبة أهنئك على الفوز المستحق لإخوتنا في الجزائر بكأس إفريقيا للأمم أخوك حمزة من المغرب,Morocco
13149,اذا نظر اليها سرته,Egypt
13150,اجتماع الدكتور سيف الغيص مدير الهيئة مع أعضاء جمعية الصيادين برأس الخيمة لاستماع ومناقشة مقتراحاتهم وشكاويهم,United_Arab_Emirates
13151,ئاماد,Iraq
13152,وانتم شبيكم شباب عندكم وعسكر عندكم وسلاح عندكم ردوا وأخذوا بثاركم إيران بين فترة وفترة تكمخ بيكم وانتم نائمون مع الأسف كل مراجلكم جانت برأس اخوكم العراق الا ان دمرتوا بالكامل,Iraq
13153,ان شاء الله,Egypt
13154,يمه شو حلو ومشرق دوم يارب,Oman
13155,يارب اطيح من الدرج ولا اطيح في حب احد,Saudi_Arabia
13156,هوه لسه المكان موجود بس مش ثابت كده بيروح يمين شمال يمين شمال,Egypt
13157,غصب عنى والله,Egypt
13158,من أقواله افريقيا للأفارقه من يظن انه عربي ماعليه الا الرجوع للربع الخالي,Algeria
13159,أعجبني فيديو على أجمل اللحظات المضحكة والطريفة مع,Egypt
13160,عرفت ما تطلعين برا البيت,Iraq
13161,كده ماجده تزعل,Tunisia
13162,دافريق فاشل بكل المقيس,Egypt
13163,بث لتلفزيون النظام من الملتفتة بريف حلب الشرقي يا خنازير داعش تسلمون القرية تلوى القرية للنظام لعنكم الله,Syria
13164,الا شخ ف ام النادي,Algeria
13165,إن الذين يغضون أصواتهم عند رسول الله أولئك الذين امتحن الله قلوبهم للتقوى لهم مغفرة وأجر عظيم الحجرات,Syria
13166,ئ,Iraq
13167,يا رب هونها,Egypt
13168,اللهم لك الحمد والشكر يارب,Yemen
13169,حاسه لو قولت أي كلام مش هايبقي ليه معني طاقة الكلام خلصانة يمكن الكلام مبقاش ليه فايدة محتمل مرهق جدا إنك مش عارف توصف اللي حاسه,Morocco
13170,ما كتب بحب يصل بحب و يتغلغل بحب وينتشر بحب ويزرع بحب فيحصد حب,Qatar
13171,مستعد و مستعد,Qatar
13172,في باريس أبواب عند فتحها تشاهد مايحدث مباشرة في المدن الأوروبية الآخرى بطريقة مذهلة,Oman
13173,لما تنزل أنت وصاحبك في فريق وتحس ان حد فيهم هيحدف عليكم قنبله,Egypt
13174,اللهم امين جزاك الله خير,Kuwait
13175,برنامج فطن بمشاركة ثانوية منارات القصيم,Saudi_Arabia
13176,إنهن يسلمن عليك,Libya
13177,فرض الضرائب في الأردن تتعارض مع الدستور فالدستور يوجب بفرض الضرائب بشكل تصاعدي على دخل الفرد حسب دخله,Jordan
13178,موسيقى تهدي الاعصاب,Iraq
13179,مرحبا إن واتساب مسنجر كناية عن تطبيق سريع بسيط وآمن أستخدمه لمراسلة ومكالمة الأشخاص الذين أهتم لأمرهم يمكنك تنزيله مجانا من ابي جادات الحين بي,United_Arab_Emirates
13180,أي سلطان يكذب و يسرق ويفسد ويقتل ولا يأبة كنا نحفظ ونردد من واحنا اطفال ان يقسم الله لنا من خشيتة ما يحول به بيننا وبين معصيتة فكبرنا نعرف الحق من الباطل ولله الحمد اما ان لا تخشى الله وتجروء على معصيتة ان لا تفرق بين الحق والباطل اي إثم وأي ذنب,Yemen
13181,أخيرا يفعلها التلفزيون الرسمي الجزائري,Algeria
13182,لن تجد القدسية إلا في المجتمعات الجاهلة ان الاحترام يتولد من خلال ما يقدمه المقابل من تضحيات,Iraq
13183,الله يسلمك استاذ براء,Palestine
13184,لانهاء الحديث بسرعة ربما اولا خاص ليلة باش تعاود,Morocco
13185,انتي مفكره انها هتيجي السعوديه من غير ما تسهر مع بن سلمان,Tunisia
13186,هي حلقة مبارح,Syria
13187,,Egypt
13188,سيفوزون بالشوط الثاني كالعادة يخدمهم الحظ بالشوط الاول ويخدمهم التحكيم بالشوط الثاني وما عرفت سبب صرفهم مليون وهم يملكون من يجعلون المباراة لصالحهم الحظالتحكيم عن برشلونة أتحدث,Iraq
13189,هل تريد ان تحط خطاياك وان كانت مثل زبد البحر فقل سبحان الله وبحمده مرة,Saudi_Arabia
13190,لما نقول أفضل ممثلة جزائرية عربية و أجنبية فنحن نتكلم عن العالمية امل بوشوشة,Morocco
13191,و البرنامج الإنتخابي فضلا و ليس أمرا,Algeria
13192,رمضان صبحى بيعرف يعمل اعلانات,Iraq
13193,يا عم و هو احنا بنخاف من الهواا و لا انت خايف يجيلك برد,Egypt
13194,قل لن يصيبنا إلا ما كتب الله لنا,Egypt
13195,لقد نشرت صورة جديدة علي الفيس بوك,Libya
13196,چند قسمته ژانرش چیه,Yemen
13197,ه لا خلاص كنسلت مايسترو مره تأخرو بطلب وفوق هذا عطوني طلب غلط يوم وصلت البيت وسحبت عليهم من بعدها كرهوني فيهم,Bahrain
13198,جمعتكم بسمہ تضي ؤجؤهكم بكل خير,Oman
13199,اغنيه عمرو دياب كنت ع بالي اسمعها,Egypt
13200,لا لا انتي فعلا خططك ذكيه جداو احترم عقليتك,Egypt
13201,صباح الفل ومن رخصتك الله يطيح حظك عادل الخرف,Iraq
13202,هي ذكريات شبه الساعة الواقفة ببص فيها ساعات لما بنسى أنها باظت,Egypt
13203,الله اكبر ولله الحمد اللهم ثبت اقدامهم وسدد رميهم وعجل بشفاء جرحاهم وتقبل شهدائهم,Libya
13204,ما الشئ الذي مات فيك,Morocco
13205,,Egypt
13206,ادور حب جديد لا لا امزح احاول لين الله يفرجها,Jordan
13207,خلاص ولا انتي ولا انا,Egypt
13208,تكفون قاعده اتابع التايم,Egypt
13209,يستهال الإعدام وهذه آخرة كل الطغاة عقبال الآخرين الباقين,Algeria
13210,ميسترال أنور السادات لحظات تسليمها لقيادات البحرية العسكرية المصرية تحيا مصر,Egypt
13211,لا مش معقول يا زياش,Algeria
13212,تحكيم خبيث و منحاز,Algeria
13213,الأهم من الشغل ومن تظبيط الشغل تظبيط اللي هيعمل الشغل و انا بصراحة كده انا عرفت انا عايز ايه انا عايز اتدلع,Egypt
13214,راستی د,Iraq
13215,يدج اليوم فاقدنج يقول فاقدين نص البيت,Morocco
13216,صامط باللغة العامية في الجزائر تعني ممل,Algeria
13217,بينما ينتفض العالم لأجل مسلمي الإيغور يقوم السيسي باعتقال من طلبة الأزهر من الإيغور تمهيدا لترحيلهم ل ل الصين,Yemen
13218,متدرباتي بدورة الديكوباج على القماش برعايةاهالينا البنكالاهلي بارع منتجة منتجون,Syria
13219,فكلا الحالتين احنا الي متمرمطين,Egypt
13220,عرايس ماريونت طرنج على كبير,Egypt
13221,في أمك خير كوش ولا قيد,Lebanon
13222,الاتحاد الهلال يالله انك من النكبات تامنا,Iraq
13223,فيلم زوين ولكن يبقى الجزء الأول هو بدون منازع,Morocco
13224,هنشخلل الشخاليل ونشرمق الشواري ونسقسق السواري,Egypt
13225,واحد مغسل الهايلوكس وملمع الكفرات ومضبطها وواقف عند حديقة يتميلح و جنبه مصري يكلم جوال يقول هتلاقيني واقف عند العربية بتاعة الغنم,Saudi_Arabia
13226,یه دیقه سکوت لطفا,Iraq
13227,بتهزر صح لا بتهزر,Egypt
13228,بعد خطورة الملح و السكر والنعناع وقلة شرب الماء تأتي خطورة الفايس فاحذروه,Morocco
13229,واحل في روحه,Libya
13230,كمل بوح قاعد اوزعلك اغنية واضبطلك الالحان,Syria
13231,علي وزن جنية أية يا دنيا أية,Egypt
13232,محتاجه اوقف تحت المطر واغسل روحي يا رب تمطر,United_Arab_Emirates
13233,محمد ساليسو بلد الوليد الاسباني رزاق ابالورا عزام يونايتد التنزاني محمد قدوس نورشلاند الدنماركي,Tunisia
13234,السلام عليكم ورحمة الله تعالى وبركاته صباحكم سكر احبتي,Morocco
13235,تجتاح دواخلك رغبة في التعلق لا لا بل لعلنا لم ننضج له بعد وهل للحب نضوج بلى هو ليس شهوة يوم أو حلم بنوم ستنضج حين تكسر في اختيارك شهوتك وتعلم أن ارتباط روحك أسمى من أن يحتكر بين قدميك أن تنظر للأمر بأنه مشروع بناء لك ولأمتك,Egypt
13236,اي وطنية عقاب هالبغل وهو داعم للكرامة بالفلوس ومصور مع بوخماجة وكلاب الدم نباشين القبور لعنة الله عليه امتاع الحشيش والدوخة,Libya
13237,ديوان جواز صالونات ل محمد عبدالعزيز إخراج,Egypt
13238,هوا يجن بس يبي حبتين بانادول قبل متبدي في الحلقة الي أطول من عمرك,Libya
13239,اقتل اسجن اسحل بيع بس اخرتك مس هتبقي حلوة,Egypt
13240,بهراستی خهم دات ئهگرێ ئهوكات دهزانی ژیان مانایهكی نییه بهبێ لهش ساغی,Iraq
13241,الحمدلله ثم الحمدلله ثم الحمدلله اللهم وحد صفوف المجاهدين وانصر اخواننا في الزنكي وفي كل مكان وزمان,Syria
13242,أللهم عآم دون فقد دون ذنب دون خيبة,Egypt
13243,كبير الرياض الهلال او النصر من قدر يكتب هالسؤال هاه من اللي له وجه يقارن والله مو كبير الرياض بل كبير اسيا العالمي الزعيم الملكي العميي ولا لا هذي للاتي,Egypt
13244,اسمي ماباش يطلعاڤطع دورك وين القروب,Libya
13245,تسلميلي يارب الجميع ان شاءالله,Saudi_Arabia
13246,ليه كدا يا عفيفي,Egypt
13247,بوتات على مستواك الزبالة,Libya
13248,بيشخلك ويحقد الله يعينك,Iraq
13249,قال الله تعالي وليعفوا وليصفحوا ألا تحبون أن يغفر الله لكم,Morocco
13250,انا اللي ابويا غني برضو,Egypt
13251,اللهم صلي وسلم وبارك على سيدنا محمد وعلى اله وصحبه وسلم تسليما,Morocco
13252,وانت بخير وبصحه وسلام وينعاد عليك اعوام عديدة مديدة مليئه بالهير واليمن ولك اجمل التحية,Iraq
13253,کرمانجی برام زۆر ز,Iraq
13254,إرادة البلطان كانت نموذجية في كل شي والله نعجز عن الكلام عن هذا الشخص كان لوحده رجل عن الف رجل تحية إجلال لهذا الرجل,Syria
13255,انا ولا هتعصب ولا هضايق ولا اي حاجه انا هاديه,Egypt
13256,لما تقولك هتيجى تتقدملى امتى,Yemen
13257,أجمعين إن شاء الله,Saudi_Arabia
13258,نسمع بحكاية ال قلت خلي نحط الفيلم نتفرج نلقاه فيلم عادي جدا لا و الادهى انو منقل على افلام اخرى سبقته في الدومان حكاية الاوراق متاع الاشجار اللي تحركها قوى خارقة تخلي البشر ينتحروا باشنع,Tunisia
13259,فيه ناس يشبهون يوم الاحد من ناحية المغثه والكأبه,United_Arab_Emirates
13260,بحماس شديد و روح عالية بدأ من الشباب والشابات العاطلين عن العمل اول مهمة تدريبية ضمن برنامج الرعاية الصحيةبرنامج النجاح في مكان العمل,Yemen
13261,اسمع كلامكم و م اتزوج,United_Arab_Emirates
13262,حملة استبدل السين بالثاء ثلامات وش ذا الهاشتاق الثامج,Saudi_Arabia
13263,سنة والبطل يوسف بك كرم عايش بقلوبنا وقلوب كتار,Lebanon
13264,يحلو صباحي,Egypt
13265,عشان تونسني بالطريق,Kuwait
13266,جائزةمسيسة صاحبها ذوأصول صهيونية لن تمنح غالبا إلا لمن يرضونه الحقيقة كم من واحد من أصول أو عرق عربي مسلم نال هذه الجائزة منذأن منحةلنجيب محفوظفي اللآذب أما في تمييز العلوم بكافة شعابها و لا واحد منذ أن أعلن عليها صاحبهاومانحها نوبل لا غفر الله له,Morocco
13267,بسم الله الرحمن الرحيم,Somalia
13268,طيبك الشيخي والله,Libya
13269,الحمدلله على نعمة الإبتلاءالحمدلله الذي جعل في الابتلاء تطهيرا للذنب وإصلاحا للنفس الحمد لله الذي لايحمد على مكروه سواه,Oman
13270,كروس اليوم لعبه تبن تبن تبن,United_Arab_Emirates
13271,من كانت حاله مع الله في الرخاء قوية سيرى أثر هذه المعية في الشدائد ألم تر إلى يقين موسى قال كلا إن معي ربي سيهدين,Tunisia
13272,خالك عرفات تعبان الله يخربيت امك,Egypt
13273,أعرف أنني أتغير أصبحت أكثر هدوء من ذي قبل أتجنب المناقشات وكلمات اللوم والعتاب أشعر بالملل من المحادثات الطويلة لاأطيق التحدث في الهاتف لا أعبر عما أشعر به لأي شخص مهما كنت غاضبا وحزيناومحطما أصبحت أكثر عقلانية أفكر كثيرا قبل اتخاذ قرار أنا الذي كنت لا أجيد التخلي تغيرت,Egypt
13274,تجد السكينة عندما تتخلي عن الحاجة لجذب إنتباه الآخرين والحاجة لإثبات أي شئ لأي شخص,Algeria
13275,المهم هذه الكان خلتني أتأكد مليون بالمئة ان الجزائرين كبار و صغار ملوك القصف على استفزازات الاغبياء,Morocco
13276,اي تحركات مالية لصومال خاص بي تتوقف حول إرسال الأموال إلى حسابي لأني أعتقد ان هناك مخترقون لذلك طلبت من أخي أن يرسل لي بعض المال تحت الحساب وسوف أسدده له في المستقبل,Somalia
13277,نادي الطب النفسي بجامعة تبوك بالتعاون مع الجمعية الخيرية للرعاية الصحية بالمنطقة يقيم حملة توعوية بعنوان لنفهم الإكتئاب تبوك,Saudi_Arabia
13278,إضافة رسالة إلى الفيديو,Palestine
13279,كل تصدي اروع من الاخر لكن تصدي كرة بونوتشي مع الزحمة في منطقة الجزاء و رد الفعل السريع كان التصدي الأروع,Djibouti
13280,مسوي رتويت يا نهار ها ايه طيب,Bahrain
13281,إلى كل من زلت به القدم ووقع في الذنوب فلو صدقوا الله لكان خيرا لهم اعترافك بأنك أتيت ذنبا هذا تمدح عليه وهو خير لك من المكابرة والاحتجاج بالخلاف والأقوال لكي تخفف وطأة الذنب على نفسك فالراحة في الاعتراف فهو باب التوبة لا الاحتجاج بالخلاف فهذا باب المكابرة,Oman
13282,ماشاء الله تبارك الرحمن عليكم الفصول تفتح النفس و ارجع ادرس,Saudi_Arabia
13283,ثمة ضوء لكنني لا أشعر به ثمة نافذة لكنها مغلقة بإحكام ثمة وطن لكنه لا يشعرني بالحياة ثمة كلام لكنني أصمت بإستمرار,Iraq
13284,علاقتنا انا واحمد أخويا ناقر ونقير طول الوقت بردو فرق السن بينا مش كتير فطبيعي بس لو هتمني حاجه واحده دلوقت هتمني يعرف أنا قد ايه بحبه وقد ايه نفسي يكون مرتاح ومبسوط وأنهي هبقي فخوره بيه طول الوقت هو مش هيقرء الكلام دا بس حقيقي نفسي يفهم كدا,Lebanon
13285,عبدالعزيز ي السخييف,United_Arab_Emirates
13286,إذا كنتم تشعرون بأننا اشخاص في العالم فاعلموا أن هناك اشخاص يشعرون بأننا العالم بأسره,Djibouti
13287,افاتار اسود علشان الأحداث,Egypt
13288,جاء من اقصى الحنانه يسعى أن ادوا الي عباد الله محمد الصدر فكر وثورة,Iraq
13289,سنة في عام,Libya
13290,هو اية الفرق يعنى نعرف نفرق ازاى,Egypt
13291,ف لاب الانتومي اطرزك انتي والأعصاب,Oman
13292,لشخص مسلف مني نقودا,Libya
13293,ستريبتيز وفق الضوابط الشرعية اهتزي جزاك الله خيرا,Libya
13294,انه افرح من يصلحون كورنيش العشار,Iraq
13295,يا زول انت عارف انك بتتكلم عن طه سليمان,Yemen
13296,عدن خبر عرب برس للأخبار حرب حارات في عدن يستخدم فيها جميع الأسلحة وتشهد نزوحا كبيرا,Yemen
13297,نتيجة الحكم الشيوعي اهنيهم والله بكل شي الصين الاول,Saudi_Arabia
13298,سبحان الله جمعتكم نقاء ومحبة اختي,Iraq
13299,التدين الشكلي التدين الشكلي,Jordan
13300,الشعور بالآخرين حاسة سادسة لا يملكها إلا الأنقياء,Egypt
